t,X,Y,Z,p
0.0,970061.6227529575,5624250.967482469,2847045.047559735,21011515.293903597
5.0,970048.5768641311,5624255.721289291,2847040.10159122,21009618.6534329
10.0,970035.9345194655,5624261.253590906,2847033.480150347,21007724.88494953
15.0,970024.1792250281,5624267.397971568,2847025.3472410366,21005833.85462132
20.0,970013.7076574449,5624273.928100939,2847016.014819847,21003945.519716397
25.0,970004.7908347913,5624280.579888772,2847005.912260029,21002059.93273167
30.0,969997.5475871771,5624287.0773357265,2846995.5443219817,21000177.236266524
35.0,969991.9329240004,5624293.159549881,2846985.4417440887,20998297.64916124
40.0,969987.7424368545,5624298.606284364,2846976.109290349,20996421.44526667
45.0,969984.6323074495,5624303.259496276,2846967.976340257,20994548.926923536
50.0,969982.1529623299,5624307.038816578,2846961.354857643,20992680.395738218
55.0,969979.7930801677,5624309.949416664,2846956.4088529483,20990816.123498578
60.0,969977.0296438242,5624312.081501677,2846953.138328346,20988956.326052625
65.0,969973.3791374961,5624313.6014802,2846951.3792773853,20987101.142678842
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20985250.622937515
75.0,969961.9558407137,5624315.748168102,2846951.030335775,20983404.722261865
80.0,969953.7931976983,5624316.914952638,2846951.5063026706,20981563.306695856
85.0,969944.0019402265,5624318.496915406,2846951.71689922,20979726.16629699
90.0,969932.7864784205,5624320.714300946,2846951.157361064,20977893.035882186
95.0,969920.4906308702,5624323.725152904,2846949.3983097994,20976063.621085346
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20974237.62718469
105.0,969894.5178122438,5624332.363209778,2846941.181771916,20972414.78789501
110.0,969881.8751741345,5624337.895052834,2846934.560273795,20970594.89133085
115.0,969870.1195706854,5624344.038973613,2846926.427294169,20968777.800627414
120.0,969859.6476896355,5624350.568657926,2846917.094792294,20966963.46723131
125.0,969850.7305606109,5624357.220030231,2846906.992145132,20965151.93558891
130.0,969843.4870245769,5624363.717103002,2846896.6241174466,20963343.33879834
135.0,969837.8721000296,5624369.798992081,2846886.521452211,20961537.885668833
140.0,969833.6813850127,5624375.245453557,2846877.1889177863,20959735.84046393
145.0,969830.5710644085,5624379.898442392,2846869.05589738,20957937.497311853
150.0,969828.0915643425,5624383.677582517,2846862.4343575197,20956143.151778966
155.0,969825.7315595208,5624386.588034108,2846857.4883100647,20954353.07237153
160.0,969822.9680256773,5624388.719987976,2846854.217757187,20952567.47473129
165.0,969819.3174374189,5624390.239836682,2846852.458691018,20950786.501022268
170.0,969814.3830995625,5624391.373886653,2846851.899148009,20949010.206496526
175.0,969807.8939785949,5624392.38620576,2846852.1097463914,20947238.554524865
180.0,969799.7312330633,5624393.552774772,2846852.5857174015,20945471.420554355
185.0,969789.9398460281,5624395.1344729075,2846852.7963157715,20943708.604586665
190.0,969778.7242211606,5624397.3515417455,2846852.2367727784,20941949.85094582
195.0,969766.4281738803,5624400.362027072,2846850.4777063057,20940194.873399455
200.0,969753.501276383,5624404.24630879,2846847.207151424,20938443.383183084
205.0,969740.4548510063,5624408.999233189,2846842.2610973865,20936695.117201462
210.0,969727.8119194738,5624414.530617676,2846835.63954202,20934949.86367068
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20933207.48271968
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20931467.91996527
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20929731.211761143
230.0,969689.4225527241,5624440.350973132,2846797.7030577003,20927997.48163212
235.0,969683.8073668219,5624446.432537124,2846787.6003051237,20926266.928261258
240.0,969679.6164239477,5624451.878725582,2846778.267690018,20924539.80621571
245.0,969676.5059121551,5624456.531491329,2846770.1345993,20922816.40129864
250.0,969674.0262571523,5624460.310451274,2846763.513002196,20921097.002930958
255.0,969671.666129678,5624463.220754362,2846758.566911981,20919381.876249142
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20917671.236626
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20915965.22907982
270.0,969660.317412833,5624468.006201287,2846752.977701606,20914263.91455716
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20912567.264402714
280.0,969645.6653592647,5624470.184699697,2846753.664276934,20910875.16353261
285.0,969635.8738426759,5624471.766133191,2846753.8748771255,20909187.421981703
290.0,969624.6580547598,5624473.982885321,2846753.3153292947,20907503.793684226
295.0,969612.3618077637,5624476.993004004,2846751.556247615,20905824.00064843
300.0,969599.4346743015,5624480.876876171,2846748.2856644588,20904147.760167345
305.0,969586.3879806775,5624485.62935934,2846743.339567662,20902474.812419172
310.0,969573.7447557413,5624491.160285242,2846736.7179550524,20900804.94578012
315.0,969561.9885343292,5624497.303286206,2846728.584834803,20899138.017400663
320.0,969551.5160264069,5624503.832080361,2846719.252171564,20897473.96706207
325.0,969542.5982846982,5624510.482621571,2846709.149349724,20895812.822986435
330.0,969535.3541718773,5624516.978945931,2846698.781142772,20894154.699056897
335.0,969529.7387246359,5624523.060184824,2846688.6783028585,20892499.783739027
340.0,969525.5475539181,5624528.506100254,2846679.3456070735,20890848.321798064
345.0,969522.4368509486,5624533.158642907,2846671.212446047,20889200.59060238
350.0,969519.9570410174,5624536.937422663,2846664.5907917,20887556.873324104
355.0,969517.5967908981,5624539.847577244,2846659.6446587276,20885917.431642696
360.0,969514.8330620728,5624541.97926881,2846656.3740493017,20884282.480599105
365.0,969511.1823099708,5624543.498857868,2846654.6149527193,20882652.16803317
370.0,969506.2478171838,5624544.632618535,2846654.0554000353,20881026.560586326
375.0,969499.758527101,5624545.644589274,2846654.2660020594,20879405.637610268
380.0,969491.5955765608,5624546.810727226,2846654.7419812987,20877789.29355253
385.0,969481.8039304288,5624548.391896074,2846654.95258331,20876177.348566383
390.0,969470.5879794762,5624550.608331485,2846654.3930306425,20874569.56629585
395.0,969458.291532779,5624553.618083515,2846652.6339337556,20872965.677093923
400.0,969445.364163369,5624557.501546121,2846649.3633223264,20871365.404409282
405.0,969432.3172015161,5624562.253588047,2846644.417182772,20869768.49177623
410.0,969419.6736831957,5624567.784055349,2846637.7955129202,20868174.727789983
415.0,969407.9171528326,5624573.926596385,2846629.662322363,20866583.966651827
420.0,969397.4443315043,5624580.454945439,2846620.329578447,20864996.142304227
425.0,969388.5262834823,5624587.105071078,2846610.226669272,20863411.274802092
430.0,969381.2818822946,5624593.601021215,2846599.858372692,20861829.46832231
435.0,969375.6661737302,5624599.681934999,2846589.7554454445,20860250.90102555
440.0,969371.474775182,5624605.12757739,2846580.4226689828,20858675.807773218
445.0,969368.3638810464,5624609.779896938,2846572.2894376493,20857104.457392268
450.0,969365.8839161965,5624613.558496499,2846565.6677260622,20855537.126704793
455.0,969363.5235434396,5624616.468502567,2846560.721550334,20853974.073846985
460.0,969360.7597171324,5624618.600062975,2846557.450912636,20852415.513464887
465.0,969357.108883117,5624620.119522204,2846555.6918008467,20850861.596185807
470.0,969352.1743128732,5624621.253138213,2846555.132243326,20849312.39434397
475.0,969345.6849382427,5624622.264934761,2846555.3428471703,20847767.89532795
480.0,969337.5218852104,5624623.430857174,2846555.8188305246,20846228.003175326
485.0,969327.730109545,5624625.011761369,2846556.0294343564,20844692.54823915
490.0,969316.5139955682,5624627.227880054,2846555.469876852,20843161.30396931
495.0,969304.2173491844,5624630.237265421,2846553.7107647583,20841634.009164523
500.0,969291.2897438434,5624634.120318455,2846550.440125057,20840110.39352534
505.0,969278.2425137801,5624638.871919124,2846545.4939427464,20838590.204023823
510.0,969265.5987020954,5624644.401927813,2846538.872215655,20837073.229533337
515.0,969253.8418628015,5624650.544008906,2846530.7389547923,20835559.321336772
520.0,969243.3687280873,5624657.071912844,2846521.4061302016,20834048.407537088
